oai:openimages.eu:1024210|"Donald Hoffman: Extra footage 1"||"Experimental psychology;Experiments;Evolution;University laboratories;Biology"|"Donald Hoffman on an eye-tracking experiment, and discussing mathematical models figuring in his theory"||VPRO|2016-05-01|https://www.openbeelden.nl/media/1024210|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024214.Donald_Hoffman_ex2.mp4|
oai:openimages.eu:1024227|"Susant Pattnaik: Extra footage part 2"||"Electronic engineering;India;Engineers;Technicians;Technology;Social structure;Laboratory equipment"|"Susant Pattnaik talks about his invention to protect woman from rape attacks. He gives a tour through the FabLab in Bopal, India"||VPRO|2016-09-11|https://www.openbeelden.nl/media/1024227|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024231.Susant_Pattnaik_ex3.mp4|
oai:openimages.eu:1024112|"IAS-director and Leon Levy professor Robbert Dijkgraaf interviews Martin Rees on the future of man in the cosmos"||"Cosmology;Human settlements;Evolution;Extraterrestrials;Earth;Future;Technology;Space;Civilization;Future society;Artificial intelligence;Machines"|"UK's Astronomer Royal reflects on the future of humanity in the cosmos"||VPRO|2016-11-27|https://www.openbeelden.nl/media/1024112|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024116.Martin_Rees.mp4|
oai:openimages.eu:1024135|"John List: Extra footage 1"||"Economics;USA;Game theory;Trade"|"John List shows his collection of precious baseball cards."||VPRO|2016-10-25|https://www.openbeelden.nl/media/1024135|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024139.John_List_ex2.mp4|
oai:openimages.eu:1024118|"Ron Fouchier: Extra footage 2"||NoTags|"Ron Fouchier in the Erasmus Medical Center Rotterdam, visiting the co-workers in his lab. Also a view on some security measures and experiments with frets, visiting a duck trap facility for taking duck samples, preparing some eggs for research. At the end some closeups of Ron Fouchier"||VPRO|2016-03-23|https://www.openbeelden.nl/media/1024118|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024122.Ron_Fouchier_ex.mp4|
oai:openimages.eu:1024045|"Juan Maldacena: Extra footage"||NoTags|"Juan Maldacena elaborating on the problems he is currently studying, discussing quantum mechanical issues with his colleagues, and spending some time with his family"||VPRO|2016-02-21|https://www.openbeelden.nl/media/1024045|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024049.Juan_Maldacena_br.mp4|
oai:openimages.eu:1024063|"Jian-Wei Pan - Extra footage 2"||"University laboratories;Quantum theory;Physics;China"|"Quantum mechanics laboratory in Hefei China; shots of the observatory in the mountains near Beijing."||VPRO|1960-01-01|https://www.openbeelden.nl/media/1024063|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024067.Jian-Wei_Pan_br.mp4|
oai:openimages.eu:1023997|"Rick Tumlinson: Extra footage 2"||"american history;Social history;Space exploration;Entrepreneurs;Colonialism;Colonization;Space sciences;Space"|"Rick Tumlinson visits a re-enactment of 19th century Gonzales, discusses Texas' history and dives into his own family history"||VPRO|2016-10-02|https://www.openbeelden.nl/media/1023997|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024001.Rick_Tumlinson_br.mp4|
oai:openimages.eu:1023979|"Guy Consolmagno: Extra footage 2"||"telescope;geology;Space;Space exploration;Astronomy;History of science;Cosmology;Astronomical observatories"|"Guy Consolmagno showing an antique telescope at the Vatican observatory; looking at the moon at night; telescope images of the moon."||VPRO|1960-01-01|https://www.openbeelden.nl/media/1023979|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023983.Guy_Consolmagno_ex3.mp4|
oai:openimages.eu:1023927|"IAS-director and Leon Levy professor Robbert Dijkgraaf interviews George Whitesides on the world of chemistry shaping our future"||"Chemistry;Nanotechnology;Origin of life;Technology;Future society;Human species;Universe;Health;Creative thinking"|"Chemist and nanoscientist George Whitesides on the impact science and technology will have on the future of human kind"||VPRO|2017-01-20|https://www.openbeelden.nl/media/1023927|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023931.George_Whitesides.mp4|
oai:openimages.eu:1023908|"Sara Seager: Extra footage 3"||"Astrophysics;Astronomy;Astronomical observatories;Astronomical systems;Space;Planets;Engineering"|"Sara Seager Explains how the exoplanet finding satelite works and gives a tour around the campus"||VPRO|2017-04-26|https://www.openbeelden.nl/media/1023908|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023912.Sara_Seager_ex.mp4|
oai:openimages.eu:1023862|"Hans Clevers: Extra footage 1"||"Biology;Biological effects;Biological research;Human biology;Human physiology;Arts;Australia"|"Hans Clevers looking at and commenting on aboriginal art; closeups of the aboriginal art work; shots of 'cell art' at the Hubrecht Institute; closeup of Hans Clevers."||VPRO|1960-01-01|https://www.openbeelden.nl/media/1023862|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023866.Hans_Clevers_ex2.mp4|
oai:openimages.eu:1023883|"Miguel Nicolelis: Extra footage part 1"||"Sport;Brazil;Culture;Sports facilities;complexity;Brain;Psychology"|"Miguel Nicolelis visits a football match of his favorite club, Palmeiras."||VPRO|2016-02-28|https://www.openbeelden.nl/media/1023883|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023887.Miguel_Nicolelis_ex2.mp4|
oai:openimages.eu:1023825|"Yuri Oganessian: Extra Footage 2"||"Elementary particles;Particle accelerators;Nuclear engineering;Nuclear physics;Experiments;Chemistry"|"Yuri Oganessian in the Joint Institute for Nuclear Research in Doebna, coordinating the work and discussing experiments with colleagues"||VPRO|2016-03-20|https://www.openbeelden.nl/media/1023825|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023829.Yuri_Oganessian_ex.mp4|
oai:openimages.eu:1023807|"John List: Extra footage 3"||Architecture;USA|"Drone footage of the University of Chicago"||VPRO|2016-10-25|https://www.openbeelden.nl/media/1023807|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023811.John_List_ex.mp4|
oai:openimages.eu:1023755|"Ron Fouchier: Extra footage 1"||"Virology;Viruses;Biology;Human biology;Experiments;Pathology;Diseases"|"Interview with Ron Fouchier in a duck trap facility. He explains his research on flu viruses on wild birds, and reflects on its potential effects for humans and the future"||VPRO|2016-03-23|https://www.openbeelden.nl/media/1023755|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023759.Ron_Fouchier_ex2.mp4|
oai:openimages.eu:1023772|"John List: Extra footage 2"||"Education;Educational efficiency;Economics;Schoolchildren;Schools;USA"|"John List visits the school where he does one of his field expiriments."||VPRO|2016-10-25|https://www.openbeelden.nl/media/1023772|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023776.John_List_ex3.mp4|
oai:openimages.eu:1023665|"Joanna Aizenberg - Extra Footage 2"||"Plants;Plant physiology;Experiments;University laboratories"|"Aizenberg's laboratory where new materials are being tested and researched."||VPRO|2016-09-22|https://www.openbeelden.nl/media/1023665|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023669.Joanna_Aizenberg_br2.mp4|
oai:openimages.eu:1023682|"Segenet Kelemu: Extra footage 3"||"Kenya;Rural environment;African cultures;Food supply"|"A trip through rural Kenia"||VPRO|2015-11-24|https://www.openbeelden.nl/media/1023682|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023686.Segenet_Kelemu_ex3.mp4|
oai:openimages.eu:1023583|"Hans Clevers: Extra footage 2"||"Molecular biology;Molecular structure;Biology;Biological control;Human biology;Cell biology;Arts;University laboratories"|"Hans Clevers gives a tour in his lab at the Hubrecht Institute, including images and explanation of organoids with PhD student Frans Schutgens; 3D images of a liver organoid; experiments with zebra fish."||VPRO|1960-01-01|https://www.openbeelden.nl/media/1023583|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023587.Hans_Clevers_ex.mp4|
oai:openimages.eu:1023601|"Nicky Clayton - Extra footage"||"Psychology;Experimental psychology;language;Philosophy of mind;Mind;Intelligence;Animals;Experiments;Cognition"|"Clayton demonstrates several bird experiments; kids try the same experiment; a crow caching food; Clayton on tango dancing."||VPRO|2016-06-22|https://www.openbeelden.nl/media/1023601|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023605.Nicky_Clayton_br.mp4|
oai:openimages.eu:1023520|"Charles Spence: extra footage 1"||"psychology;experiments;University laboratories;Food technology;Sensory systems;Experimental psychology"|"Charles Spence on his way to his laboratory, and discussing work with his student Alejandro Salgado Montejo"||VPRO|2016-06-26|https://www.openbeelden.nl/media/1023520|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023524.Charles_Spence_ex.mp4|
oai:openimages.eu:1023538|"Susant Pattnaik: Extra footage part 3"||"Engineering;Technology;Technicians;Electrical engineering;Electrical equipment;India;Religious practice"|"Susant Pattnaik visits his parental house where he talks about how he started out as an inventor. Also some extra footage of Bopal, India"||VPRO|2016-09-11|https://www.openbeelden.nl/media/1023538|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023542.Susant_Pattnaik_ex.mp4|
oai:openimages.eu:1023301|"IAS-director and Leon Levy professor Robbert Dijkgraaf interviews networks expert Jennifer Chayes on how the world of technology will shape our future"||"Information;Technology;Future society;Computer networks;Networks;Artificial intelligence;Connectivity;Social media;Knowledge;Microsoft"|"An influential computer scientist reflecting on how networks and the world of technology will impact our future lives."||VPRO|2017-01-19|https://www.openbeelden.nl/media/1023301|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023305.Jennifer_Chayes.mp4|
oai:openimages.eu:1023295|"Donald Hoffman: Extra footage 2"||Psychology;Religion;Science;Philosophy;Theology|"Donald Hoffman in an in-depth discussion with his parents on the intersections and mutually exclusive aspects of religion and science"||VPRO|2015-05-01|https://www.openbeelden.nl/media/1023295|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/23/1023299.Donald_Hoffman_ex.mp4|
